 Name/ Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Amritsar-Sh. Shawat Malik ,N.a,1184.15,910.79,768.06,755.22,500.00,250.00,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Fatehgarh Sahib-Sh.Shamsher Singh Dullo,N.a,2227.76,1291.28,1281.00,1017.00,746.00,494.74,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Ferozpur- Sh. Sandeep Kumar Arora),250.00,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Gurdaspur-Sh. Partap Singh Bajwa,N.a,1557.63,1051.34,797.09,784.00,756.00,502.49,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Rupnagar(Hoshiarpur)-Smt. Ambika Soni,N.a,1120.09,1107.96,1023.64,730.00,649.00,3961.15,3187.24,1911.58,N.a,2120.77,1617.55,1263.97,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Jalandhar-Sh. Naresh Gujral,N.a,2201.30,1617.91,1578.17,1299.00,762.00,3504.41,2724.15,2704.47,2452.61,1441.09,1188.28,829.07,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Jalandhar-Sh. Sant Balbir Singh,252.23,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Jalandhar-Sh.Harbhajan Singh,251.21,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Jalandhar-Sh. Ashok Kumar Mittal,250.58,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Ludhiana- Sh.Sanjeev Arora ,253.27,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Mansa-Sh. Balwinder Singh Bhunder,N.a,2183.46,1465.88,1186.21,923.00,322.00,2932.30,2163.58,1908.28,1675.79,641.74,388.77,100.00,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Sangrur-Sh.Sukhdev Singh Dhidsa,N.a,5083.77,4378.01,4197.38,4095.00,3562.00,3305.51,2543.00,2026.01,1765.99,998.66,742.13,100.00,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
SAS Nagar-Sh Vikramjit Singh Sahney,250.00,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
SAS Nagar-Sh Raghav Chadha ,250.00,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Gurdaspur-Sh.Ashwani Kumar Ex Mp,N.a,N.a,N.a,N.a,N.a,N.a,2911.45,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Gurdaspur-Sh.Ashwani Kumar ,N.a,N.a,N.a,N.a,N.a,N.a,N.a,2651.61,2148.72,1787.03,1581.77,1176.86,1172.48,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Hoshiarpur-Sh. Avinash Rai Khanna Ex Mp,N.a,N.a,N.a,N.a,N.a,N.a,2808.55,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Hoshiarpur-Sh. Avinash Rai Khanna ,N.a,N.a,N.a,N.a,N.a,N.a,N.a,2536.44,2019.46,4999.41,992.37,487.86,236.07,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Tarn Taran -Dr.Manmohan Singh Gill Ex Mp,N.a,N.a,N.a,N.a,N.a,N.a,4053.03,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Tarn Taran -Dr.Manmohan Singh Gill ,N.a,N.a,N.a,N.a,N.a,N.a,N.a,4037.83,3031.41,2772.29,2248.96,1986.22,1380.73,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
