 Name/ Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968
Amritsar-Sh. Gurjeet Singh ,390,390,471,471,314,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Amritsar-Captain Amrinder Singh,N.a,N.a,N.a,N.a,N.a,494,231,0,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Bathinda-Smt. Harsimrat Kaur Badal,59,220,242,91,86,390,233,0,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Faridkot-Sh. Sadhu Singh ,5,6,51,348,231,472,141,21,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Firozpur-Sh. Sher Singh Ghubaya,2,15,88,400,278,24,79,95,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Gurdaspur-Sh. Sunil Kumar Jakhar,255,297,424,77,88,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Gurdaspur-Sh. Vinod Khanna,N.a,N.a,N.a,N.a,N.a,107,29,0,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Hoshiarpur-Sh. Vijay Sampla,13,85,462,265,276,363,161,38,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Jalandhar-Sh. Santokh  Singh Choudhary,61,155,324,363,306,271,154,0,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Ludhiana-Sh.Ravneet Singh Bittu,44,61,105,202,156,219,130,0,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Patiala-Sh. Dharam Vira Gandhi,0,3,154,227,311,399,129,11,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Sangrur-Sh.Bhagwant Mann,37,83,155,339,259,711,11,7,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Ludhiana(Fatehgarh Sahib)-Sh.Harinder Singh Khalsa,191,246,410,445,380,444,418,0,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Ajitgarh-Sh.Prem Singh Chandumajra,87,475,835,620,549,376,201,0,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
Tarn Taran-Sh.Ranjit Singh Brahmpura,265,265,393,303,248,175,176,0,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a,N.a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
